Frage,Richtige,Antwort1,Antwort2,Antwort3
Wie viele Beine hat eine Spinne?,8,6,10,12
Was ist die Hauptstadt von Italien?,Rom,Madrid,Athen,Paris
Wie viele Planeten hat unser Sonnensystem?,8,9,7,6
Welche Farbe hat eine reife Banane?,Gelb,Grün,Rot,Blau
Wie viele Kontinente gibt es?,7,6,5,8
Welcher Planet ist der Sonne am nächsten?,Merkur,Venus,Mars,Erde
Was ist das chemische Symbol für Wasser?,H2O,CO2,O2,N2
Wie nennt man ein Tier, das Pflanzen frisst?,Herbivore,Karnivore,Omnivore,Insektivore
Wie heißt der höchste Berg der Welt?,Mount Everest,K2,Mont Blanc,Elbrus
Was ist 5 × 6?,30,25,20,36
Welches Tier bellt?,Hund,Katze,Pferd,Schwein
Was ergibt 12 geteilt durch 3?,4,3,2,6
Welcher Tag kommt nach Mittwoch?,Donnerstag,Freitag,Dienstag,Montag
Was ist die Hauptstadt von Spanien?,Madrid,Barcelona,Sevilla,Lissabon
Wie viele Stunden hat ein Tag?,24,12,48,60
Wie nennt man Wasser in gefrorenem Zustand?,Eis,Dampf,Nebel,Regen
Was ergibt 3 hoch 2?,9,6,12,8
Wie heißt die Hauptstadt von Deutschland?,Berlin,Hamburg,München,Köln
Was ist das Gegenteil von heiß?,Kalt,Warm,Lauwarm,Kochen
Wie viele Finger hat ein Mensch an einer Hand?,5,4,6,10
Was ist das Ergebnis von 7+8?,15,14,16,17
Wie viele Seiten hat ein Würfel?,6,4,8,5
Was ist ein Synonym für Auto?,Fahrzeug,Haus,Baum,Fahrrad
Was ist ein Halbkreis?,180 Grad,90 Grad,360 Grad,45 Grad
Was ist schwerer: 1kg Federn oder 1kg Eisen?,Gleich,Eisen,Federn,Beides nicht
Was ist die Hauptstadt von Frankreich?,Paris,Lyon,Nizza,Marseille
Welcher Vogel kann nicht fliegen?,Pinguin,Adler,Spatz,Rabe
Was ergibt 10 - 3?,7,6,8,9
Was ist ein Rechteck?,Eine Form,Ein Tier,Ein Beruf,Ein Getränk
Wie viele Minuten hat eine Stunde?,60,30,90,100
Wie heißt das Hauptnahrungsmittel in Asien?,Reis,Nudeln,Brot,Fleisch
Welcher Monat hat 28 Tage?,Alle,Februar,Januar,Dezember
Was ergibt 9 + 6?,15,14,13,16
Was ist das Gegenteil von Tag?,Nacht,Dunkel,Licht,Abend
Welcher Sinn ist für Geräusche zuständig?,Hören,Sehen,Riechen,Fühlen
Was ist der dritte Monat im Jahr?,März,April,Januar,Februar
Was ist das kleinste zweistellige Zahl?,10,11,9,2
Was ist das Gegenteil von links?,Rechts,Oben,Unten,Hinten
Wie viele Monate hat ein Jahr?,12,10,11,13
Was ergibt 100 - 75?,25,35,15,30
Wie nennt man einen jungen Hund?,Welpe,Kätzchen,Fohlen,Kalb
Wie viele Buchstaben hat das Wort "Auto"?,4,3,5,6
Wie heißt das größte Tier auf der Erde?,Blauwal,Elefant,Nashorn,Nilpferd
Was ist das Gegenteil von groß?,Klein,Lang,Schmal,Hoch
Wie viele Beine hat ein Insekt?,6,8,4,10
Was ist der Plural von "Haus"?,Häuser,Hausen,Hauser,Häus
Was ergibt 20 : 5?,4,5,6,3
Wie nennt man das Ergebnis einer Multiplikation?,Produkt,Differenz,Summe,Quotient
Was ist das Gegenteil von hell?,Dunkel,Grell,Weich,Klar
Was ist die Hauptstadt von Japan?,Tokio,Osaka,Kyoto,Peking
Wie viele Tage hat ein Schaltjahr?,366,365,364,367
Welches Element hat das chemische Symbol O?,Sauerstoff,Kohlenstoff,Wasserstoff,Stickstoff
Was ist die Hauptstadt von Kanada?,Ottawa,Toronto,Montreal,Vancouver
Wie heißt die längste Schlange der Welt?,Netzpython,Anakonda,Kobra,Seeschlange
Was ist die Hauptstadt von Brasilien?,Brasília,Rio de Janeiro,São Paulo,Salvador
Wie viele Knochen hat ein erwachsener Mensch?,206,200,212,198
Welcher Planet wird der "Rote Planet" genannt?,Mars,Jupiter,Venus,Saturn
Was ist die Hauptstadt von Ägypten?,Kairo,Alexandria,Gizeh,Luxor
Wie heißt die kleinste Primzahl?,2,1,3,0
Was ist die Hauptstadt von Australien?,Canberra,Sydney,Melbourne,Perth
Welcher Fluss ist der längste der Welt?,Nil,Amazonas,Jangtse,Mississippi
Wie viele Zähne hat ein erwachsener Mensch normalerweise?,32,28,30,36
Was ist die Hauptstadt von Russland?,Moskau,St. Petersburg,Kasan,Wladiwostok
Welches Tier schläft am längsten?,Koala,Faultier,Löwe,Eisbär
Was ist die Hauptstadt von Argentinien?,Buenos Aires,Córdoba,Rosario,Mendoza
Wie viele Herzen hat ein Oktopus?,3,1,2,4
Was ist die Hauptstadt von Südafrika?,Pretoria,Kapstadt,Johannesburg,Durban
Welches Land hat die Form eines Stiefels?,Italien,Frankreich,Spanien,Griechenland
Was ist die Hauptstadt von China?,Peking,Shanghai,Hongkong,Guangzhou
Wie viele Planeten haben Ringe?,4,2,3,5
Was ist die Hauptstadt von Indien?,Neu-Delhi,Mumbai,Bangalore,Kolkata
Welcher Kontinent ist der kleinste?,Australien,Europa,Antarktika,Südamerika
Was ist die Hauptstadt von Mexiko?,Mexiko-Stadt,Guadalajara,Monterrey,Puebla
Wie viele Farben hat ein Regenbogen?,7,5,6,8
Was ist die Hauptstadt von Thailand?,Bangkok,Chiang Mai,Phuket,Pattaya
Welches Tier kann seinen Schwanz abwerfen?,Eidechse,Maus,Ratte,Hase
Was ist die Hauptstadt von Vietnam?,Hanoi,Ho-Chi-Minh-Stadt,Da Nang,Hai Phong
Wie viele Sinne hat der Mensch?,5,4,6,7
Was ist die Hauptstadt von Schweden?,Stockholm,Göteborg,Malmö,Uppsala
Welches ist das schnellste Landtier?,Gepard,Löwe,Antilope,Pferd
Was ist die Hauptstadt von Norwegen?,Oslo,Bergen,Trondheim,Stavanger
Wie viele Planeten sind kleiner als die Erde?,2,1,3,4
Was ist die Hauptstadt von Finnland?,Helsinki,Tampere,Turku,Oulu
Welches ist das größte Säugetier an Land?,Afrikanischer Elefant,Nashorn,Flusspferd,Giraffe
Was ist die Hauptstadt von Dänemark?,Kopenhagen,Aarhus,Odense,Aalborg
Wie viele Monde hat die Erde?,1,2,0,3
Was ist die Hauptstadt von Polen?,Warschau,Krakau,Danzig,Breslau
Welcher Planet dreht sich am schnellsten um die Sonne?,Merkur,Venus,Erde,Mars
Was ist die Hauptstadt von Österreich?,Wien,Graz,Linz,Salzburg
Wie viele Buchstaben hat das deutsche Alphabet?,26,24,28,30
Was ist die Hauptstadt von Portugal?,Lissabon,Porto,Coimbra,Braga
Welcher Planet ist am dichtesten an der Sonne?,Merkur,Venus,Erde,Mars
Was ist die Hauptstadt von Griechenland?,Athen,Thessaloniki,Patras,Heraklion
Wie viele Knochen hat eine menschliche Hand?,27,20,25,30
Was ist die Hauptstadt von Irland?,Dublin,Cork,Galway,Limerick
Welcher Planet ist der größte in unserem Sonnensystem?,Jupiter,Saturn,Uranus,Neptun
Was ist die Hauptstadt von Tschechien?,Prag,Brünn,Ostrau,Pilsen
Wie viele Planeten sind gasförmig?,4,3,5,6
Was ist die Hauptstadt der Schweiz?,Bern,Zürich,Genf,Basel
Welcher Planet ist für seine Ringe bekannt?,Saturn,Jupiter,Uranus,Neptun
Was ist die Hauptstadt von Ungarn?,Budapest,Debrecen,Szeged,Pécs
Wie viele Planeten sind felsig?,4,3,5,6
Was ist die Hauptstadt von Belgien?,Brüssel,Antwerpen,Brügge,Gent
Welcher Planet ist der zweitgrößte?,Saturn,Jupiter,Uranus,Neptun
Was ist die Hauptstadt der Niederlande?,Amsterdam,Den Haag,Rotterdam,Utrecht
Wie viele Planeten sind kleiner als der Mars?,2,1,3,4
Was ist die Hauptstadt von Rumänien?,Bukarest,Cluj-Napoca,Timisoara,Iasi
Welcher Planet hat die meisten Monde?,Jupiter,Saturn,Uranus,Neptun
Was ist die Hauptstadt von Bulgarien?,Sofia,Plowdiw,Warna,Burgas
Wie viele Planeten sind wärmer als die Erde?,2,1,3,4
Was ist die Hauptstadt von Kroatien?,Zagreb,Split,Rijeka,Osijek
Welcher Planet ist am weitesten von der Sonne entfernt?,Neptun,Uranus,Pluto,Saturn
Was ist die Hauptstadt von Serbien?,Belgrad,Novi Sad,Niš,Kragujevac
Wie viele Planeten sind sichtbar mit bloßem Auge?,5,4,6,7
Was ist die Hauptstadt von Slowenien?,Ljubljana,Maribor,Celje,Koper
Welcher Planet hat den größten Temperaturunterschied?,Merkur,Venus,Mars,Jupiter
Was ist die Hauptstadt der Slowakei?,Bratislava,Košice,Prešov,Žilina
Wie viele Planeten haben eine feste Oberfläche?,4,3,5,6
Was ist die Hauptstadt der Ukraine?,Kiew,Charkiw,Odessa,Lwiw
Welcher Planet hat die längste Umlaufzeit?,Neptun,Uranus,Saturn,Jupiter
Was ist die Hauptstadt von Weißrussland?,Minsk,Gomel,Mogiljow,Witebsk
Wie viele Planeten haben eine Atmosphäre?,8,7,6,9
Was ist die Hauptstadt von Estland?,Tallinn,Tartu,Narva,Pärnu
Welcher Planet hat die kürzeste Umlaufzeit?,Merkur,Venus,Erde,Mars
Was ist die Hauptstadt von Lettland?,Riga,Daugavpils,Liepāja,Jelgava
Wie viele Planeten haben Monde?,6,5,7,8
Was ist die Hauptstadt von Litauen?,Vilnius,Kaunas,Klaipėda,Šiauliai
Welcher Planet hat die dichteste Atmosphäre?,Venus,Mars,Jupiter,Saturn
Was ist die Hauptstadt von Island?,Reykjavík,Akureyri,Kópavogur,Hafnarfjörður
Wie viele Planeten sind nach Göttern benannt?,8,7,6,9
Was ist die Hauptstadt von Malta?,Valletta,Birkirkara,Sliema,Mosta
Welcher Planet hat die stärksten Stürme?,Jupiter,Saturn,Uranus,Neptun
Was ist die Hauptstadt von Zypern?,Nikosia,Limassol,Larnaka,Paphos
Wie viele Planeten haben ein Ringsystem?,4,3,5,6
Was ist die Hauptstadt von Albanien?,Tirana,Durrës,Vlora,Shkodër
Welcher Planet ist nach dem römischen Gott des Krieges benannt?,Mars,Jupiter,Neptun,Pluto
Was ist die Hauptstadt von Montenegro?,Podgorica,Niksic,Herceg Novi,Budva
Wie viele Planeten sind größer als die Erde?,4,3,5,6
Was ist die Hauptstadt von Nordmazedonien?,Skopje,Bitola,Prilep,Kumanovo
Welcher Planet ist nach dem römischen Gott des Meeres benannt?,Neptun,Jupiter,Mars,Pluto
Was ist die Hauptstadt von Bosnien und Herzegowina?,Sarajevo,Banja Luka,Tuzla,Mostar
Wie viele Planeten sind kleiner als der Mars?,2,1,3,4
Was ist die Hauptstadt von Moldau?,Chișinău,Tiraspol,Bălți,Bender
Welcher Planet ist nach dem römischen Göttervater benannt?,Jupiter,Mars,Neptun,Saturn
Was ist die Hauptstadt von Luxemburg?,Luxemburg,Esch-sur-Alzette,Differdange,Dudelange
Wie viele Planeten sind nach weiblichen Gottheiten benannt?,1,2,0,3
Was ist die Hauptstadt von Liechtenstein?,Vaduz,Schellenberg,Mauren,Triesen
Welcher Planet ist nach dem römischen Gott des Handels benannt?,Merkur,Venus,Mars,Jupiter
Was ist die Hauptstadt von Andorra?,Andorra la Vella,Encamp,Escaldes-Engordany,Sant Julià de Lòria
Wie viele Planeten haben eine höhere Dichte als Wasser?,8,7,6,9
Was ist die Hauptstadt von Monaco?,Monaco-Ville,Monte-Carlo,La Condamine,Fontvieille
Welcher Planet ist nach dem römischen Gott der Unterwelt benannt?,Pluto,Saturn,Neptun,Jupiter
Was ist die Hauptstadt von San Marino?,San Marino,Borgo Maggiore,Serravalle,Domagnano
Wie viele Planeten haben eine exzentrische Umlaufbahn?,1,2,0,3
Was ist die Hauptstadt des Vatikans?,Vatikanstadt,-,-,-
Welcher Planet hat die meisten bekannten Monde?,Jupiter,Saturn,Uranus,Neptun
Was ist die Hauptstadt von Kasachstan?,Nur-Sultan,Almaty,Schymkent,Qaraghandy
Wie viele Planeten haben eine retrograde Rotation?,1,2,0,3
Was ist die Hauptstadt von Usbekistan?,Taschkent,Samarqand,Andijon,Namangan
Welcher Planet hat die kürzeste Rotationsperiode?,Jupiter,Saturn,Uranus,Neptun
Was ist die Hauptstadt von Turkmenistan?,Aşgabat,Türkmenabat,Daşoguz,Mary
Wie viele Planeten haben eine sichtbare Oberfläche?,4,3,5,6
Was ist die Hauptstadt von Kirgisistan?,Bischkek,Osch,Dschalalabat,Karakol
Welcher Planet hat die längste Rotationsperiode?,Venus,Merkur,Mars,Jupiter
Was ist die Hauptstadt von Tadschikistan?,Duschanbe,Chudschand,Kulob,Chorugh
Wie viele Planeten haben eine magnetische Sphäre?,8,7,6,9
Was ist die Hauptstadt von Armenien?,Jerewan,Gjumri,Vanadsor,Wagharschapat
Welcher Planet hat die stärkste Magnetosphäre?,Jupiter,Saturn,Uranus,Neptun
Was ist die Hauptstadt von Aserbaidschan?,Baku,Ganja,Sumqayıt,Lənkəran
Wie viele Planeten haben eine höhere Albedo als die Erde?,4,3,5,6
Was ist die Hauptstadt von Georgien?,Tiflis,Kutaissi,Batumi,Rustawi
Welcher Planet hat die niedrigste Albedo?,Merkur,Venus,Mars,Jupiter
Was ist die Hauptstadt von Afghanistan?,Kabul,Kandahar,Herat,Masar-i-Scharif
Wie viele Planeten haben eine höhere Schwerkraft als die Erde?,2,1,3,4
Was ist die Hauptstadt von Pakistan?,Islamabad,Karachi,Lahore,Peschawar
Welcher Planet hat die schwächste Schwerkraft?,Merkur,Mars,Venus,Pluto
Was ist die Hauptstadt von Bangladesch?,Dhaka,Chittagong,Khulna,Rajshahi
Wie viele Planeten haben eine höhere Fluchtgeschwindigkeit als die Erde?,2,1,3,4
Was ist die Hauptstadt von Sri Lanka?,Sri Jayawardenepura,Colombo,Kandy,Galle
Welcher Planet hat die höchste Fluchtgeschwindigkeit?,Jupiter,Saturn,Uranus,Neptun
Was ist die Hauptstadt von Nepal?,Kathmandu,Pokhara,Biratnagar,Lalitpur
Wie viele Planeten haben eine höhere Oberflächentemperatur als die Erde?,2,1,3,4
Was ist die Hauptstadt von Bhutan?,Thimphu,Phuntsholing,Punakha,Paro
Welcher Planet hat die höchste Oberflächentemperatur?,Venus,Merkur,Mars,Jupiter
Was ist die Hauptstadt der Malediven?,Malé,Addu,Fuvahmulah,Kulhudhuffushi
Wie viele Planeten haben eine höhere Neigung der Rotationsachse als die Erde?,4,3,5,6
Was ist die Hauptstadt von Indonesien?,Jakarta,Surabaya,Bandung,Medan
Welcher Planet hat die stärkste Achsenneigung?,Uranus,Venus,Mars,Neptun
Was ist die Hauptstadt von Osttimor?,Dili,Baucau,Maliana,Suai
Wie viele Planeten haben Jahreszeiten?,8,7,6,9
Welcher Planet hat die ausgeprägtesten Jahreszeiten?,Mars,Venus,Merkur,Jupiter
Was ist die Hauptstadt von Brunei?,Bandar Seri Begawan,Kuala Belait,Seria,Tutong
Wie viele Planeten haben Polarkappen?,3,2,4,5
Was ist die Hauptstadt von Malaysia?,Kuala Lumpur,Putrajaya,George Town,Johor Bahru
Welcher Planet hat die größten Polarkappen?,Mars,Venus,Erde,Jupiter
Was ist die Hauptstadt der Philippinen?,Manila,Cebu City,Davao City,Quezon City
Wie viele Planeten haben eine höhere Windgeschwindigkeit als die Erde?,4,3,5,6
Was ist die Hauptstadt von Vietnam?,Hanoi,Ho-Chi-Minh-Stadt,Da Nang,Hai Phong
Welcher Planet hat die stärksten Winde?,Neptun,Jupiter,Saturn,Uranus